Agency Code,Product Number,Recommendation Target Agency/Organization,Engagement Code,Recommendation Text,Status Comments
024,GAO-10-13,Department of Homeland Security,310672,"To better ensure the successful delivery of a comprehensive US-VISIT exit solution, GAO augments its prior recommendations aimed at strengthening Comprehensive Exit project planning. The Secretary of Homeland Security should direct the Undersecretary for National Protection and Programs to have the US-VISIT Program Director develop and maintain an integrated master schedule for the Comprehensive Exit project in accordance with the nine practices discussed in this report.","In March 2013, pursuant to the explanatory statement for Department of Homeland Security&#39;s (DHS) 2013 appropriation, DHS re-assigned the responsibilities of the US-VISIT program to other organizations within DHS. For example, DHS transferred US-VISIT&#39;s overstay analysis function to Immigration and Customs Enforcement. DHS also created the Office of Biometric Identity Management within the National Protection and Programs Directorate, which assumed US-VISIT&#39;s previous responsibility for managing systems for tracking and matching arrival and departure records for the purpose of identifying potential overstays, and for maintaining biometric information that DHS collects from nonimmigrants upon their entry into the United States. DHS also assigned U.S. Customs and Border Protection&#39;s (CBP) Office of Field Operations with responsibility for coordinating DHS&#39;s entry and exit policies and operations, including developing and maintaining the integrated master schedule for the department&#39;s biometric exit program. In September 2014, CBP provided its updated integrated master schedule for exit projects within the Office of Field Operation&#39;s Entry/Exit Transformation Office. However, our analysis of the updated schedule identified weaknesses in the use of scheduling best practices. For example, roughly two-thirds of the schedule was missing logical relationships called dependencies that are needed to depict the sequence in which activities occur. Because a logic relationship dictates the effect of an on-time, delayed, or accelerated activity on subsequent activities, any missing or incorrect logic relationship is potentially damaging to the entire network. Complete network logic between all activities is essential if the schedule is to correctly forecast the start and end dates of activities within the plan. In addition, CBP did not provide any reviews of the quality of the schedule, performed by either the program office or by an outside group, to assess the use of best practices. We will continue to evaluate the CBP&#39;s progress in implementing this recommendation."
029,GAO-10-579,Department of Veterans Affairs,310941,"To enhance VA's effort to successfully fulfill its forthcoming plans for the outpatient scheduling system replacement project and the HealtheVet program, the Secretary of Veterans Affairs should direct the CIO to adhere to the department's guidance for system testing including (1) performing testing incrementally and (2) resolving defects of average and above severity prior to proceeding to subsequent stages of testing.","In written comments on our report, VA concurred with this recommendation and stated that testing is managed using documented, repeatable processes that are included in the ProPath Web-based tool. According to the Acting Deputy Chief Information Officer for Product Development, the new Medical Appointment Scheduling System (MASS) project is expected to incorporate Agile software development practices, including the use of incremental testing. However, the MASS project is still being planned and has not yet reached the point where adherence to the department&#39;s system testing guidance can be assessed."
029,GAO-10-579,Department of Veterans Affairs,310941,"To enhance VA's effort to successfully fulfill its forthcoming plans for the outpatient scheduling system replacement project and the HealtheVet program, the Secretary of Veterans Affairs should direct the CIO to ensure implementation of a requirements management plan that reflects leading practices for requirements development and management. Specifically, implementation of the plan should include analyzing requirements to ensure they are complete, verifiable, and sufficiently detailed to guide development, and maintaining requirements traceability from high-level operational requirements through detailed low-level requirements to test cases.","In written comments on our report, VA concurred with this recommendation and in August 2014, identified initial actions the department had taken in response. Specifically, as part of its plans to issue a request for proposals to acquire a replacement scheduling system under its Medical Appointment Scheduling System (MASS) project, VA developed a Business Requirements Document that defines its specific business needs, capabilities, features, and constraints. Additionally, the department reported that it intends to manage and document requirements using processes supported by a Web-based tool called ProPath. However, the MASS project is currently being planned and has not yet reached the point where the effectiveness of the requirements management activities we recommended can be assessed."
029,GAO-10-579,Department of Veterans Affairs,310941,"To enhance VA's effort to successfully fulfill its forthcoming plans for the outpatient scheduling system replacement project and the HealtheVet program, the Secretary of Veterans Affairs should direct the CIO to ensure that the policies and procedures VA is establishing to provide meaningful program oversight are effectively executed and that they include (1) robust collection methods for information on project costs, benefits, schedule, risk assessments, performance metrics, and system functionality to support executive decision making; (2) the establishment of reporting mechanisms to provide this information in a timely manner to department IT oversight control boards; and (3) defined criteria and documented policies on actions the department will take when development deficiencies for a project are identified.","The Department of Veterans Affairs concurred with this recommendation and identified initial actions it has taken in response. For example, the agency instituted its Project Management Accountability System as a management approach to addressing performance issues with IT projects. In addition, the agency has begun to use ProPath to identify and document key systems development life-cycle processes. As part of this project management approach, in June 2014, the department completed a milestone review that formally initiated planning for its Medical Appointment Scheduling System (MASS) project. However, because the project is still in its planning stage, the extent to which VA is providing the meaningful oversight we recommended cannot yet be assessed."
029,GAO-10-579,Department of Veterans Affairs,310941,"To enhance VA's effort to successfully fulfill its forthcoming plans for the outpatient scheduling system replacement project and the HealtheVet program, the Secretary of Veterans Affairs should direct the CIO to identify risks related to the scheduling project moving forward and prepare plans and strategies to mitigate them.","The Department of Veterans Affairs concurred with our recommendation and, in August 2014, pointed to certain actions it had taken. For instance, the Acting Deputy Chief Information Officer for Product Development stated that the department had instituted the use of its Project Management Accountability System and its ProPath Web-based tool to identify, track, and mitigate risks related to the department&#39;s effort to replace its scheduling system. The department also created a risk register for its Medical Appointment Scheduling System (MASS) project. However, the project is currently being planned and has not yet reached the point where the effectiveness of the department&#39;s risk management activities can be assessed."
029,GAO-10-579,Department of Veterans Affairs,310941,"To enhance VA's effort to successfully fulfill its forthcoming plans for the outpatient scheduling system replacement project and the HealtheVet program, the Secretary of Veterans Affairs should direct the Chief Information Officer (CIO) to ensure acquisition plans document how competition will be sought, promoted, and sustained or identify the basis of authority for not using full and open competition.","In written comments on our report, VA concurred with this recommendation and stated that it would work closely with contracting officers to ensure future acquisition plans clearly identify an acquisition strategy that promotes full and open competition. As noted in a July 2014 written response to questions from the acquisition community about the Medical Appointment Scheduling System (MASS) project, the department&#39;s acquisition strategy has not yet been determined and it is reviewing all possible acquisition strategies. Thus, VA&#39;s acquisition planning has not yet reached the point where we can effectively assess the department&#39;s efforts to seek, promote, and sustain competition."
024,GAO-10-860,Department of Homeland Security,310688,"To the extent that the limitations in the Air Exit Pilots are not addressed through other information sources, the Secretary of Homeland Security should direct the Under Secretary for National Protection and Programs to have the US-VISIT Program Director identify additional sources for the operational impacts of air exit not addressed in the pilots' evaluation and to incorporate these sources into its air exit decision making and planning.","In May 2012, the Department of Homeland Security (DHS) reported internally on the results of the DHS Science and Technology Directorate&#39;s analysis of previous US-VISIT air exit pilot programs and assessment of available biometric technologies. Among other things, the report discussed DHS&#39;s plans to implement several recommendations that have the potential to result in additional information sources to assess the operational impacts of a biometric air exit capability on stakeholders (e.g. airports, airlines, and travelers). These additional information sources may include a new biometric air exit concept of operations, developmental scenario testing to validate the concept of operations, operational tests to validate performance, and development of an evaluation framework for biometric air exit. However, the report also cited significant remaining questions, such as those regarding the current performance of the biographic air exit process, the comparative value of adding a biometric capability to the existing air exit process, and the overall value and cost of a biometric air exit capability. In September 2014, officials from DHS&#39;s U.S. Customs and Border Protection stated that the agency was in the process of finalizing a report that is intended to assess the current state of the biometric exit environment, as well as a provide a gap analysis. According to agency officials, this report is expected to identify the strengths and possible gaps of biometric accountability of travelers across all modes of travel into and out of the United States, and the resulting findings are planned to be incorporated to the agency&#39;s entry/exit strategy as appropriate. Officials stated that these efforts are expected to be completed by January 1, 2015. We will continue to evaluate the department&#39;s progress implementing our recommendation."
006,GAO-11-117,Department of Commerce,311210,"To reduce the risk that NIST's smart grid cybersecurity guidelines will not be as effective as intended, the Secretary of Commerce should direct the Director of NIST to finalize the agency's plan for updating and maintaining the cybersecurity guidelines, including ensuring it incorporates (1) missing key elements identified in this report, and (2) specific milestones for when efforts are to be completed. Also, as a part of finalizing the plan, the Secretary of Commerce should direct the Director of NIST should assess whether any cybersecurity challenges identified in this report should be addressed in the guidelines.", 
014,GAO-11-149,Department of State,311046,"To improve implementation of iPost at State, the Secretary of State should direct the Chief Information Officer to clearly identify in iPost individuals with site-level responsibility for monitoring the security state and ensuring the resolution of security weaknesses of Windows hosts.", 
014,GAO-11-149,Department of State,311046,"To improve implementation of iPost at State, the Secretary of State should direct the Chief Information Officer to develop, document, and implement a continuous monitoring strategy that addresses risk, to include changing threats, vulnerabilities, technologies, and missions/business processes.", 
